0.000301;1000
0.000593;2000
0.000888;3000
0.001183;4000
0.001477;5000
0.001771;6000
0.002065;7000
0.002359;8000
0.002654;9000
0.002948;10000
0.003242;11000
0.003536;12000
0.003831;13000
0.004125;14000
0.004419;15000
0.004714;16000
0.005008;17000
0.005302;18000
0.005597;19000
0.005891;20000
0.006185;21000
0.006479;22000
0.006774;23000
0.007068;24000
0.007362;25000
0.007656;26000
0.007951;27000
0.008245;28000
0.008539;29000
0.008834;30000
0.009128;31000
0.009422;32000
0.009716;33000
0.010010;34000
0.010305;35000
0.010599;36000
0.010893;37000
0.011187;38000
0.011482;39000
0.011776;40000
0.012070;41000
0.012364;42000
0.012659;43000
0.012953;44000
0.013247;45000
0.013541;46000
0.013836;47000
0.014130;48000
0.014424;49000
0.014718;50000
0.015013;51000
0.015307;52000
0.015601;53000
0.015895;54000
0.016189;55000
0.016484;56000
0.016778;57000
0.017072;58000
0.017366;59000
0.017660;60000
0.017954;61000
0.018248;62000
0.018525;63000
0.018691;64000
0.018838;65000
0.018986;66000
0.019133;67000
0.019280;68000
0.019427;69000
0.019574;70000
0.019721;71000
0.019868;72000
0.020016;73000
0.020163;74000
0.020310;75000
0.020457;76000
0.020604;77000
0.020751;78000
0.020898;79000
0.021045;80000
0.021193;81000
0.021340;82000
0.021487;83000
0.021634;84000
0.021781;85000
0.021928;86000
0.022075;87000
0.022222;88000
0.022370;89000
0.022517;90000
0.022664;91000
0.022811;92000
0.022958;93000
0.023105;94000
0.023252;95000
0.023400;96000
0.023547;97000
0.023694;98000
0.023841;99000
0.023988;100000
