0.359665;100;29
0.347696;100;25
0.328305;100;21
0.329364;100;17
0.292162;100;13
0.247291;100;9
0.234930;100;5
0.265772;100;1
0.404174;600;29
0.393486;600;25
0.384676;600;21
0.380461;600;17
0.373830;600;13
0.363499;600;9
0.424310;600;5
1.078707;600;1
0.360028;1100;29
0.376399;1100;25
0.376391;1100;21
0.373482;1100;17
0.388709;1100;13
0.412035;1100;9
0.557816;1100;5
1.889797;1100;1
0.449263;1600;29
0.451437;1600;25
0.458283;1600;21
0.469521;1600;17
0.494771;1600;13
0.534515;1600;9
0.752037;1600;5
2.696024;1600;1
0.434022;2100;29
0.452688;2100;25
0.462506;2100;21
0.487280;2100;17
0.517895;2100;13
0.584621;2100;9
0.876908;2100;5
3.504738;2100;1
0.518662;2600;29
0.537577;2600;25
0.551165;2600;21
0.581962;2600;17
0.626070;2600;13
0.715458;2600;9
1.069322;2600;5
4.307672;2600;1
0.493396;3100;29
0.494473;3100;25
0.528238;3100;21
0.566705;3100;17
0.637994;3100;13
0.770574;3100;9
1.202285;3100;5
5.109179;3100;1
0.575867;3600;29
0.575602;3600;25
0.610783;3600;21
0.662925;3600;17
0.738822;3600;13
0.899042;3600;9
1.403292;3600;5
5.909521;3600;1
0.555748;4100;29
0.573588;4100;25
0.619545;4100;21
0.674224;4100;17
0.759395;4100;13
0.950122;4100;9
1.525558;4100;5
6.710375;4100;1
0.638932;4600;29
0.667022;4600;25
0.710260;4600;21
0.772213;4600;17
0.871852;4600;13
1.070299;4600;9
1.710152;4600;5
7.505855;4600;1
0.602368;5100;29
0.635271;5100;25
0.686138;5100;21
0.763792;5100;17
0.891973;5100;13
1.122194;5100;9
1.840305;5100;5
8.307453;5100;1
0.673354;5600;29
0.714226;5600;25
0.766182;5600;21
0.855429;5600;17
0.995251;5600;13
1.250986;5600;9
2.030573;5600;5
9.084826;5600;1
0.668753;6100;29
0.696845;6100;25
0.757202;6100;21
0.851911;6100;17
1.011156;6100;13
1.302127;6100;9
2.158721;6100;5
9.875845;6100;1
0.749302;6600;29
0.801058;6600;25
0.863845;6600;21
0.970115;6600;17
1.130390;6600;13
1.426426;6600;9
2.342584;6600;5
10.659687;6600;1
0.701793;7100;29
0.760578;7100;25
0.830501;7100;21
0.947769;7100;17
1.127812;7100;13
1.474576;7100;9
2.472283;7100;5
11.446606;7100;1
0.802568;7600;29
0.857112;7600;25
0.928698;7600;21
1.041663;7600;17
1.241039;7600;13
1.587773;7600;9
2.653575;7600;5
12.226916;7600;1
0.778995;8100;29
0.849469;8100;25
0.926057;8100;21
1.050121;8100;17
1.253494;8100;13
1.646560;8100;9
2.790807;8100;5
13.002184;8100;1
0.855154;8600;29
0.916953;8600;25
0.998672;8600;21
1.136019;8600;17
1.355851;8600;13
1.778269;8600;9
2.972036;8600;5
13.766994;8600;1
0.849331;9100;29
0.886679;9100;25
0.983693;9100;21
1.136776;9100;17
1.370699;9100;13
1.821342;9100;9
3.100441;9100;5
14.552979;9100;1
0.892890;9600;29
0.965737;9600;25
1.063192;9600;21
1.222292;9600;17
1.468086;9600;13
1.944995;9600;9
3.272885;9600;5
15.320733;9600;1
0.916495;10100;29
0.974940;10100;25
1.074008;10100;21
1.231224;10100;17
1.497732;10100;13
1.990368;10100;9
3.403949;10100;5
16.103298;10100;1
0.982817;10600;29
1.044786;10600;25
1.160438;10600;21
1.328430;10600;17
1.600097;10600;13
2.111821;10600;9
3.582618;10600;5
16.855876;10600;1
0.946816;11100;29
1.022471;11100;25
1.139817;11100;21
1.315377;11100;17
1.613566;11100;13
2.165415;11100;9
3.716928;11100;5
17.628016;11100;1
1.019880;11600;29
1.101933;11600;25
1.218661;11600;21
1.409290;11600;17
1.701326;11600;13
2.286196;11600;9
3.890683;11600;5
18.391163;11600;1
1.012473;12100;29
1.102935;12100;25
1.224684;12100;21
1.411668;12100;17
1.739018;12100;13
2.332786;12100;9
4.017209;12100;5
19.146621;12100;1
1.099264;12600;29
1.184990;12600;25
1.314306;12600;21
1.498350;12600;17
1.831424;12600;13
2.451709;12600;9
4.187343;12600;5
19.908233;12600;1
1.068778;13100;29
1.165143;13100;25
1.288371;13100;21
1.501025;13100;17
1.852712;13100;13
2.499133;13100;9
4.317121;13100;5
20.660504;13100;1
1.145874;13600;29
1.248261;13600;25
1.375275;13600;21
1.590042;13600;17
1.954554;13600;13
2.620417;13600;9
4.505363;13600;5
21.404805;13600;1
